序号,位移响应
939,3.560891380599112e-07
940,3.5217968887447576e-07
941,3.4884581548988374e-07
942,3.4610944099608534e-07
943,3.4398962250957815e-07
944,3.4250245962410894e-07
945,3.4166101714874247e-07
946,3.4147526250445257e-07
947,3.419520180796949e-07
948,3.4309492877350235e-07
949,3.4490444488141073e-07
950,3.473778204056558e-07
951,3.50509126796877e-07
952,3.542892820601883e-07
953,3.5870609508456696e-07
954,3.637443249811467e-07
955,3.6938575514385585e-07
956,3.7560928167482474e-07
957,3.8239101574796e-07
958,3.89704399416845e-07
959,3.975203343085512e-07
960,4.0580732258271487e-07
961,4.1453161947633474e-07
962,4.236573966988488e-07
963,4.33146915889816e-07
964,4.4296071130305455e-07
965,4.53057780836633e-07
966,4.6339578448787074e-07
967,4.739312492767166e-07
968,4.8461977964968e-07
969,4.954162723500082e-07
970,5.062751347182577e-07
971,5.171505053707879e-07
972,5.279964761921676e-07
973,5.387673145710994e-07
974,5.494176848080953e-07
975,5.599028676271409e-07
976,5.701789767325161e-07
977,5.802031713660156e-07
978,5.899338638390808e-07
979,5.993309210382597e-07
980,6.083558589313968e-07
981,6.169720291354678e-07
982,6.251447966451597e-07
983,6.328417078635553e-07
984,6.400326481230164e-07
985,6.466899879347364e-07
986,6.527887172596053e-07
987,6.583065671505926e-07
988,6.632241181775703e-07
989,6.675248951090008e-07
990,6.711954473910227e-07
991,6.742254150327949e-07
992,6.766075795771164e-07
993,6.783378999071394e-07
994,6.794155327129712e-07
995,6.79842837515806e-07
996,6.796253662215693e-07
997,6.787718372506006e-07
998,6.772940943641839e-07
999,6.752070503824888e-07
1000,6.725286160613509e-07
1001,6.692796144668402e-07
1002,6.654836812565447e-07
1003,6.611671513445862e-07
1004,6.56358932492971e-07
1005,6.510903664351953e-07
1006,6.453950781982036e-07
1007,6.393088143458913e-07
1008,6.328692709209486e-07
1009,6.261159119117987e-07
1010,6.190897791172807e-07
1011,6.118332943234714e-07
1012,6.043900547445136e-07
1013,5.968046227120367e-07
1014,5.891223106259003e-07
1015,5.813889622022556e-07
1016,5.736507310730747e-07
1017,5.659538578046376e-07
1018,5.583444464104279e-07
1019,5.508682414368333e-07
1020,5.435704066977483e-07
1021,5.364953067267301e-07
1022,5.296862920027321e-07
1023,5.231854889877257e-07
1024,5.170335959918995e-07
1025,5.112696858544503e-07
1026,5.059310163956332e-07
1027,5.010528495588388e-07
1028,4.966682801199265e-07
1029,4.928080747955277e-07
1030,4.89500522532244e-07
